source,target,date,month
Graham Milnes,You-Shaped Banking,2014.05.22,18
Graham Milnes,MortgageFamily,2014.05.22,18
Graham Milnes,Customer Experience - 2,2014.05.22,18
Graham Milnes,MyZone Community,2014.05.22,18
Graham Milnes,PBBcolleagues,2014.05.22,18
Graham Milnes,DigitalEagles,2014.05.22,18
Graham Milnes,Community Banking,2014.05.22,18
Graham Milnes,Future of the Branch,2014.05.22,18
Graham Milnes,Telephony,2014.05.22,18
Graham Milnes,SkyBranch India,2014.05.22,18
Graham Milnes,SkyBranch,2014.05.22,18
Graham Milnes,Raymond Pettitt,2014.05.22,18
Graham Milnes,click here,2014.05.22,18
Stephen Roles,MyZone Community,2014.05.20,18
Sharon Smith,MyZone Team,2014.05.21,18
Katrina Thelwell,MyZone Community,2014.05.21,18
Holly Blane,MyZone Community,2014.05.21,18
Angela Gray,MyZone Community,2014.05.21,18
Ant Coster,DigitalEagles,2014.05.20,18
Ant Coster,link,2014.05.20,18
Luke Daniel-Christoforidis,David Shepherd,2014.05.21,18
Luke Daniel-Christoforidis,David Shepherd,2014.05.21,18
Kevin Garner,(Michael Ezekiel)',2014.05.21,18
Kevin Garner,Michael Ezekiel,2014.05.21,18
Graham Milnes,Customer Experience - 2,2014.05.21,18
Graham Milnes,MortgageFamily,2014.05.21,18
Graham Milnes,MyZone Community,2014.05.21,18
Graham Milnes,Network Assist Community Support,2014.05.21,18
Graham Milnes,Future of the Branch,2014.05.21,18
Graham Milnes,SkyBranch,2014.05.21,18
Graham Milnes,DigitalEagles,2014.05.21,18
Graham Milnes,London & Midlands,2014.05.21,18
Graham Milnes,Heathrow and Kingston Community Sphere,2014.05.21,18
Graham Milnes,Charlotte Povey,2014.05.22,18
Graham Milnes,Ross Martin,2014.05.21,18
Graham Milnes,Luke Daniel-Christoforidis,2014.05.21,18
Graham Milnes,Deborah Ashes,2014.05.21,18
Graham Milnes,Charlotte Povey,2014.05.21,18
Graham Milnes,Ben Parsons,2014.05.21,18
Graham Milnes,David Shepherd,2014.05.21,18
Nena George,MySite Help,2014.05.21,18
Nena George,which i obviously have,2014.05.21,18
Ryan Yates,DigitalEagles,2014.05.21,18
Ryan Yates,MyZone Community,2014.05.21,18
Ant Coster,DigitalEagles,2014.05.21,18
Ant Coster,Digital,2014.05.21,18
Ant Coster,KIT Community,2014.05.21,18
Ant Coster,MyZone Community,2014.05.21,18
Ant Coster,UKRBB iPad Community,2014.05.21,18
Ant Coster,UK RBB North East,2014.05.21,18
Ant Coster,MyZone Community,2014.05.21,18
Ant Coster,link,2014.05.21,18
Ant Coster,link,2014.05.21,18
Ant Coster,link,2014.05.21,18
Siobhan Newmarch,Citizenship Iberia,2014.05.21,18
Siobhan Newmarch,BAGL Citizenship SLG,2014.05.21,18
Siobhan Newmarch,Purpose,2014.05.22,18
Siobhan Newmarch,SeeItOwnItFixIt,2014.05.21,18
Siobhan Newmarch,AskAshok,2014.05.21,18
Siobhan Newmarch,MyZone Community,2014.05.21,18
Siobhan Newmarch,(Vimala Camadoo): @Citizenship - it's everyone's business,2014.05.21,18
Siobhan Newmarch,Julie Ackley,2014.05.21,18
Siobhan Newmarch,Vimala Camadoo,2014.05.21,18
Sharon Smith,MyZone Team,2014.05.21,18
Dawn White,MyZone Community,2014.05.11,18
Dawn White,MySite Help,2014.05.12,18
Sharon Smith,smith,2014.05.13,18
Sharon Smith,MyZone Team,2014.05.17,18
Anisha Madha,Digital Eagles Central Region,2014.05.20,18
Anisha Madha,MyZone Community,2014.05.20,18
Anisha Madha,DigitalEagles,2014.05.20,18
Ross Martin,DigitalEagles,2014.05.17,18
Ross Martin,Digital Driving Licence,2014.05.17,18
Ross Martin,London & Midlands,2014.05.17,18
Ross Martin,Southernregion,2014.05.17,18
Ross Martin,EasternRegion,2014.05.17,18
Ross Martin,NWRegion,2014.05.17,18
Ross Martin,MyZone Community,2014.05.17,18
Ross Martin,Heathrow and Kingston Community Sphere,2014.05.17,18
Ross Martin,Digital Driving Licence,2014.05.17,18
Gary Metcalfe,MyZone Community,2014.05.20,18
Gary Metcalfe,Galaxy S3,2014.05.20,18
Olivia Hall,KIT Community,2014.05.16,18
Olivia Hall,MyZone Community,2014.05.16,18
Olivia Hall,DigitalEagles,2014.05.16,18
Alexander Keeble,KIT Community,2014.05.17,18
Alexander Keeble,Digital Driving Licence,2014.05.17,18
Alexander Keeble,DigitalEagles,2014.05.17,18
Alexander Keeble,Your KIT,2014.05.17,18
Alexander Keeble,Strategic Transformation,2014.05.17,18
Alexander Keeble,Master Classes,2014.05.17,18
Alexander Keeble,MyZone Community,2014.05.17,18
Alexander Keeble,Retail Development Programme,2014.05.17,18
Alexander Keeble,Apprentices Community,2014.05.17,18
Alexander Keeble,The Tech Bar,2014.05.17,18
Alexander Keeble,Barclays Wiki,2014.05.17,18
Alexander Keeble,link,2014.05.17,18
Ross Martin,DigitalEagles,2014.05.16,18
Ross Martin,Digital Driving Licence,2014.05.16,18
Ross Martin,MyZone Community,2014.05.16,18
Ross Martin,KIT Community,2014.05.16,18
Ross Martin,(James Rust Ashford)',2014.05.16,18
Ross Martin,James Rust Ashford,2014.05.16,18
Ross Martin,DigitalEagles,2014.05.16,18
Ross Martin,Inderdeep Singh,2014.05.17,18
Ross Martin,MyZone Community,2014.05.16,18
Ross Martin,KIT Community,2014.05.16,18
Ross Martin,Inderdeep Singh,2014.05.16,18
Ross Martin,Inderdeep Singh,2014.05.16,18
Ross Martin,Inderdeep Singh,2014.05.16,18
Gill Barlow,MyZone Community,2014.05.16,18
Natalie Egmore,MyZone Community,2014.05.16,18
Nena George,MySite Help,2014.05.15,18
Nena George,MyZone Community,2014.05.14,18
Sarah Threadgold,MyZone Community,2014.05.15,18
Nicola Owen,MyZone Community,2014.05.14,18
Amy Roberts,MySite Help,2014.05.14,18
Tarun Srivastava,MyZone Community,2014.05.12,18
Deanne Shepherd,MyZone Community,2014.05.11,18
Sharon Smith,MyZone Team,2014.05.12,18
Tarun Srivastava,MyZone Community,2014.05.11,18
Tarun Srivastava,Previous Question as well,2014.05.11,18
Sadika Alam,MyZone Community,2014.05.10,18
Sharon Smith,MyZone Team,2014.05.10,18
Chandrali Chandan Das,MyZone Community,2014.05.10,18
Sharon Smith,MyZone Team,2014.05.10,18
Kyle Norbury,MyZone Community,2014.05.09,18
Kyle Norbury,MyZone Community,2014.05.09,18
Robert Rayner,International Pilots 2014,2014.05.09,18
Jack Percival,London & Midlands,2014.05.09,18
Jack Percival,MyZone Community,2014.05.09,18
Jack Percival,Ross Martin,2014.05.09,18
Jack Percival,Joseph Appleton,2014.05.09,18
Katie Milburn,DigitalEagles,2014.05.09,18
Katie Milburn,MyZone Community,2014.05.09,18
Rajan Sawhney,MyZone Community,2014.05.08,18
Ross Martin,Digital Driving Licence,2014.05.02,18
Ross Martin,Digital Divide,2014.05.02,18
Ross Martin,London & Midlands,2014.05.02,18
Ross Martin,KIT Community,2014.05.02,18
Ross Martin,MyZone Community,2014.05.02,18
Ross Martin,DigitalEagles,2014.05.02,18
Daniel Watts,MyZone Community,2014.05.09,18
Olivia Hall,KIT Community,2014.05.03,18
Olivia Hall,MyZone Community,2014.05.03,18
Olivia Hall,DigitalEagles,2014.05.03,18
Olivia Hall,Apprentices Community,2014.05.03,18
Anna Collins,MyZone Community,2014.04.30,17
Anna Collins,which I had already started,2014.04.30,17
Rhiannon Atkinson,MyZone Community,2014.05.01,17
Ashok M,MyZone Community,2014.04.30,17
Sarah Plummer,MyZone Community,2014.04.30,17
Sharon Smith,MyZone Team,2014.04.30,17
Carolyn Clarke,MyZone Community,2014.04.30,17
Sharon Smith,MyZone Community,2014.04.30,17
Sharon Smith,MyZone Team,2014.04.30,17
Steven West,MyZone Community,2014.04.27,17
Steven West,Emma Bashforth,2014.04.27,17
Steven West,Emma Bashforth,2014.04.27,17
Sharon Smith,MyZone Team,2014.04.27,17
Emma Bashforth,DigitalEagles,2014.04.26,17
Emma Bashforth,MyZone Community,2014.04.26,17
Sharon Smith,MyZone Team,2014.04.26,17
Phil Wilson,MyZone Community,2014.04.22,17
Sharon Smith,MyZone Team,2014.04.30,17
Faye Forrester,KYC,2014.04.25,17
Faye Forrester,KIT Community,2014.04.25,17
Faye Forrester,DigitalEagles,2014.04.25,17
Faye Forrester,North West UK Region,2014.04.25,17
Faye Forrester,South East London,2014.04.25,17
Faye Forrester,South West & South Wales Region,2014.04.25,17
Faye Forrester,MyZone Community,2014.04.25,17
Faye Forrester,London & Midlands,2014.04.25,17
Hollie Sargeant,DigitalEagles,2014.04.20,17
Hollie Sargeant,"(Sharon Smith) I can't seem to find the video on My Zone could you possibly send me a link or even tell me what the title of the video is please?""",2014.04.19,17
Hollie Sargeant,Sharon Smith,2014.04.19,17
Harmanpreet Singh Bajwa,MyZone community,2014.04.18,17
Harmanpreet Singh Bajwa,Tarun Srivastava,2014.04.18,17
Harmanpreet Singh Bajwa,Tarun Srivastava,2014.04.18,17
Colleen Currington,MyZone Community,2014.04.17,17
Christine Cassap,MyZone Community,2014.04.17,17
Jonathan Archibald,MyZone Community,2014.04.16,17
Sharon Smith,MyZone Team,2014.04.16,17
Gaurav Jain,MyZone Community,2014.04.15,17
Katherine Jackson,North West UK Region,2014.04.04,17
Katherine Jackson,NorthWest Eagles,2014.04.04,17
Katherine Jackson,NWRegion,2014.04.04,17
Katherine Jackson,NWUK Digital Discoveries,2014.04.04,17
Katherine Jackson,DigitalEagles,2014.04.04,17
Katherine Jackson,MySite Help,2014.04.04,17
Katherine Jackson,MyZone Community,2014.04.04,17
Katherine Jackson,manchester out of this world ,2014.04.04,17
Mitchell Izzard,Telephony,2014.04.04,17
Mitchell Izzard,Business Telephony Coventry/Sunderland ,2014.04.04,17
Mitchell Izzard,Business banking Liverpool,2014.04.04,17
Anisha Madha,Eastern Heartlands Community,2014.04.04,17
Anisha Madha,Harrow and Edgware Community site,2014.04.04,17
Anisha Madha,Digital Eagles Central Region,2014.04.04,17
Anisha Madha,DigitalEagles,2014.04.04,17
Anisha Madha,DigitalEagles,2014.04.04,17
Anisha Madha,Barclays,2014.04.05,17
Anisha Madha,Free: Formers,2014.04.04,17
Anisha Madha,Your KIT,2014.04.04,17
Anisha Madha,MyZone Community,2014.04.04,17
Anisha Madha,Apprentices Community,2014.04.04,17
Anisha Madha,Retail Development Programme,2014.04.04,17
Anisha Madha,Free: Formers,2014.04.04,17
Anisha Madha,Alexander Keeble,2014.04.04,17
Katherine Jackson,manchester out of this world ,2014.04.04,17
Katherine Jackson,Tameside Hub,2014.04.04,17
Katherine Jackson,MySite Help,2014.04.04,17
Katherine Jackson,MyZone Community,2014.04.04,17
Katherine Jackson,W O W Manchester,2014.04.04,17
Katherine Jackson,KIT Community,2014.04.04,17
Katherine Jackson,North West UK Region,2014.04.04,17
Katherine Jackson,NWRegion,2014.04.04,17
Gavin Rowland,MyZone Community,2014.04.03,17
Gavin Rowland,DigitalEagles,2014.04.03,17
Sharon Smith,MyZone Team,2014.04.03,17
Samantha McKendrey,Digital Driving Licence,2014.04.03,17
Samantha McKendrey,DigitalEagles,2014.04.03,17
Samantha McKendrey,MyZone Community,2014.04.03,17
Samantha McKendrey,Samantha McKendrey,2014.04.03,17
Samantha McKendrey,Samantha McKendrey,2014.04.03,17
Amardeep Mahl,MyZone Community,2014.04.03,17
Emma Bowles-Hyde,MyZone Community,2014.04.03,17
Davorka Zezelj-Drmac,MyZone Community,2014.04.03,17
Sharon Smith,link,2014.04.03,17
Sharon Smith,MyZone Team,2014.04.03,17
Jill Sloman,MyZone Community,2014.04.02,17
Ben Enos,MyZone Community,2014.04.02,17
Sharon Smith,MyZone Team,2014.04.02,17
Corrie Winskill,Whickham & Ryton Branch,2014.04.02,17
Corrie Winskill,Listen In - Uniform ,2014.04.02,17
Corrie Winskill,manchester out of this world ,2014.04.02,17
Corrie Winskill,MyZone Community,2014.04.02,17
Corrie Winskill,W O W Manchester,2014.04.02,17
Corrie Winskill,Uniform Swap Shop,2014.04.02,17
Corrie Winskill,North West UK Region,2014.04.02,17
Corrie Winskill,NWRegion,2014.04.02,17
Corrie Winskill,KIT Community,2014.04.02,17
Corrie Winskill,Katherine Jackson,2014.04.02,17
Christopher Anderson,DigitalEagles,2014.04.01,17
Christopher Anderson,link,2014.04.01,17
Christopher Anderson,link,2014.04.01,17
Akbar Shah,Keith Rigby,2014.04.02,17
Akbar Shah,Keith Rigby,2014.04.01,17
Katherine Jackson,Listen In - Uniform ,2014.03.30,16
Katherine Jackson,manchester out of this world ,2014.03.30,16
Katherine Jackson,MyZone Community,2014.03.30,16
Katherine Jackson,W O W Manchester,2014.03.30,16
Katherine Jackson,Uniform Swap Shop,2014.03.30,16
Katherine Jackson,North West UK Region,2014.03.30,16
Katherine Jackson,NWRegion,2014.03.30,16
Katherine Jackson,KIT Community,2014.03.30,16
Emily Whybrow,Melanie Coates,2014.03.30,16
Emily Whybrow,Melanie Coates,2014.03.30,16
Emily Whybrow,Emily Whybrow,2014.03.30,16
Akshay Singh Siwal,MyZone Community,2014.03.30,16
Akshay Singh Siwal,DigitalEagles,2014.03.30,16
Emily Whybrow,MyZone Community,2014.03.30,16
Sharon Smith,MyZone Team,2014.03.30,16
Amy Mills,Digital Driving Licence,2014.03.30,16
Amy Mills,Digital Eagles Central Region,2014.03.30,16
Amy Mills,DigitalEagles,2014.03.30,16
Amy Mills,DigitalEagles,2014.03.30,16
Amy Mills,Barclays,2014.03.31,16
Amy Mills,Free: Formers,2014.03.30,16
Amy Mills,Your KIT,2014.03.30,16
Amy Mills,MyZone Community,2014.03.30,16
Amy Mills,Apprentices Community,2014.03.30,16
Amy Mills,Retail Development Programme,2014.03.30,16
Amy Mills,Free: Formers,2014.03.30,16
Amy Mills,Alexander Keeble,2014.03.30,16
Tracey Taylor,MyZone Community,2014.03.30,16
Chris Bush,DigitalEagles,2014.03.29,16
Chris Bush,DigitalEagles,2014.03.29,16
Chris Bush,Barclays,2014.03.30,16
Chris Bush,Free: Formers,2014.03.29,16
Chris Bush,Your KIT,2014.03.29,16
Chris Bush,MyZone Community,2014.03.29,16
Chris Bush,Apprentices Community,2014.03.29,16
Chris Bush,Retail Development Programme,2014.03.29,16
Chris Bush,Free: Formers,2014.03.29,16
Chris Bush,Alexander Keeble,2014.03.29,16
Danielle Rubin,Eastern Heartlands Community,2014.03.28,16
Danielle Rubin,Harrow and Edgware Community site,2014.03.28,16
Danielle Rubin,Digital Eagles Central Region,2014.03.28,16
Danielle Rubin,DigitalEagles,2014.03.28,16
Danielle Rubin,DigitalEagles,2014.03.28,16
Danielle Rubin,Barclays,2014.03.29,16
Danielle Rubin,Free: Formers,2014.03.28,16
Danielle Rubin,Your KIT,2014.03.28,16
Danielle Rubin,MyZone Community,2014.03.28,16
Danielle Rubin,Apprentices Community,2014.03.28,16
Danielle Rubin,Retail Development Programme,2014.03.28,16
Danielle Rubin,Free: Formers,2014.03.28,16
Danielle Rubin,Alexander Keeble,2014.03.28,16
Abdul Arman,South Wales Community,2014.03.28,16
Abdul Arman,DigitalEagles,2014.03.28,16
Abdul Arman,DigitalEagles,2014.03.28,16
Abdul Arman,Barclays,2014.03.29,16
Abdul Arman,Free: Formers,2014.03.28,16
Abdul Arman,Your KIT,2014.03.28,16
Abdul Arman,MyZone Community,2014.03.28,16
Abdul Arman,Apprentices Community,2014.03.28,16
Abdul Arman,Retail Development Programme,2014.03.28,16
Abdul Arman,Free: Formers,2014.03.28,16
Abdul Arman,Alexander Keeble,2014.03.28,16
Aileen Chatwin,Shropshire Group,2014.03.28,16
Aileen Chatwin,North Wales Area,2014.03.28,16
Aileen Chatwin,North West UK Region,2014.03.28,16
Aileen Chatwin,Andy's PREMIER Bulletins,2014.03.28,16
Aileen Chatwin,DigitalEagles,2014.03.28,16
Aileen Chatwin,DigitalEagles,2014.03.28,16
Aileen Chatwin,Barclays,2014.03.29,16
Aileen Chatwin,Free: Formers,2014.03.28,16
Aileen Chatwin,Your KIT,2014.03.28,16
Aileen Chatwin,MyZone Community,2014.03.28,16
Aileen Chatwin,Apprentices Community,2014.03.28,16
Aileen Chatwin,Retail Development Programme,2014.03.28,16
Aileen Chatwin,Free: Formers,2014.03.28,16
Aileen Chatwin,Alexander Keeble,2014.03.28,16
Alexander Keeble,DigitalEagles,2014.03.28,16
Alexander Keeble,DigitalEagles,2014.03.28,16
Alexander Keeble,Barclays,2014.03.29,16
Alexander Keeble,Free: Formers,2014.03.28,16
Alexander Keeble,Your KIT,2014.03.28,16
Alexander Keeble,MyZone Community,2014.03.28,16
Alexander Keeble,Apprentices Community,2014.03.28,16
Alexander Keeble,Retail Development Programme,2014.03.28,16
Alexander Keeble,Free: Formers,2014.03.28,16
Adrian Chapman,MyZone Community,2014.04.01,16
Alexandra Robertson,MyZone Community,2014.04.01,16
Akshay Singh Siwal,MyZone Community,2014.04.01,16
Keith Rigby,MyZone Community,2014.04.01,16
Fazreena Ismail,Neil Anthony Williams,2014.04.02,16
Fazreena Ismail,KIT Community,2014.04.01,16
Fazreena Ismail,KYC,2014.04.01,16
Fazreena Ismail,MyZone Community,2014.04.01,16
Fazreena Ismail,Neil Anthony Williams,2014.04.01,16
Fazreena Ismail,Neil Anthony Williams,2014.04.01,16
Neil Anthony Williams,Neil Anthony Williams,2014.04.02,16
Neil Anthony Williams,KIT Community,2014.04.01,16
Neil Anthony Williams,KYC,2014.04.01,16
Neil Anthony Williams,MyZone Community,2014.04.01,16
Neil Anthony Williams,Neil Anthony Williams,2014.04.01,16
Bongani Nakasa,MyZone Community,2014.04.01,16
Bongani Nakasa,Bongani Nakasa,2014.04.01,16
Bongani Nakasa,MyZone Community,2014.04.01,16
Keith Rigby,MyZone Community,2014.04.01,16
Steve Petrus Hollander,MyZone Community,2014.04.01,16
Katherine Jackson,manchester out of this world ,2014.04.01,16
Katherine Jackson,MyZone Community,2014.04.01,16
Katherine Jackson,DigitalEagles,2014.04.01,16
Katherine Jackson,NWUK Digital Discoveries,2014.04.01,16
Katherine Jackson,Ashton Under Lyne,2014.04.01,16
Katherine Jackson,Tameside Hub,2014.04.01,16
Katherine Jackson,North West UK Region,2014.04.01,16
Katherine Jackson,NorthWest Eagles,2014.04.01,16
Katherine Jackson,NWRegion,2014.04.01,16
Katherine Jackson,W O W Manchester,2014.04.01,16
Katherine Jackson,KIT Community,2014.04.01,16
Pete Moore,MyZone Community,2014.04.01,16
Adam McGinley,Pingit Community,2014.04.01,16
Adam McGinley,MyZone Community,2014.04.01,16
Adam McGinley,DigitalEagles,2014.04.01,16
Adam McGinley,Daniel Besser,2014.04.01,16
Elaine Gray,Digital Eagles Northern,2014.04.01,16
Elaine Gray, Digital Eagles Northern,2014.04.01,16
Julie Townsley,MyZone Community,2014.04.01,16
Alexander Keeble,Free: Formers,2014.04.01,16
Alexander Keeble,KIT Community,2014.04.01,16
Alexander Keeble,ThinkSmart,2014.04.01,16
Alexander Keeble,MyZone Community,2014.04.01,16
Alexander Keeble,MyDevice,2014.04.01,16
Alexander Keeble,DigitalEagles,2014.04.01,16
Alexander Keeble,Neil Anthony Williams,2014.04.01,16
Alexander Keeble,Neil Anthony Williams,2014.04.01,16
Neil Anthony Williams,KIT Community,2014.04.01,16
Neil Anthony Williams,ThinkSmart,2014.04.01,16
Neil Anthony Williams,MyZone Community,2014.04.01,16
